areaType,areaName,areaCode,date,newDeathsByPublishDate,cumDeathsByPublishDate
nation,England,E92000001,2020-07-13,11,40245
nation,Northern Ireland,N92000002,2020-07-13,0,554
nation,Scotland,S92000003,2020-07-13,0,2490
nation,Wales,W92000004,2020-07-13,0,1541
nation,England,E92000001,2020-07-12,21,40234
nation,Northern Ireland,N92000002,2020-07-12,0,554
nation,Scotland,S92000003,2020-07-12,0,2490
nation,Wales,W92000004,2020-07-12,0,1541
nation,England,E92000001,2020-07-11,147,40213
nation,Northern Ireland,N92000002,2020-07-11,0,554
nation,Scotland,S92000003,2020-07-11,0,2490
nation,Wales,W92000004,2020-07-11,1,1541
nation,England,E92000001,2020-07-10,48,40066
nation,Northern Ireland,N92000002,2020-07-10,0,554
nation,Scotland,S92000003,2020-07-10,0,2490
nation,Wales,W92000004,2020-07-10,0,1540
nation,England,E92000001,2020-07-09,82,40018
nation,Northern Ireland,N92000002,2020-07-09,0,554
nation,Scotland,S92000003,2020-07-09,1,2490
nation,Wales,W92000004,2020-07-09,2,1540
nation,England,E92000001,2020-07-08,121,39936
nation,Northern Ireland,N92000002,2020-07-08,0,554
nation,Scotland,S92000003,2020-07-08,1,2489
nation,Wales,W92000004,2020-07-08,4,1538
nation,England,E92000001,2020-07-07,152,39815
nation,Northern Ireland,N92000002,2020-07-07,0,554
nation,Scotland,S92000003,2020-07-07,0,2488
nation,Wales,W92000004,2020-07-07,3,1534
nation,England,E92000001,2020-07-06,16,39663
nation,Northern Ireland,N92000002,2020-07-06,0,554
nation,Scotland,S92000003,2020-07-06,0,2488
nation,Wales,W92000004,2020-07-06,0,1531
nation,England,E92000001,2020-07-05,21,39647
nation,Northern Ireland,N92000002,2020-07-05,0,554
nation,Scotland,S92000003,2020-07-05,0,2488
nation,Wales,W92000004,2020-07-05,1,1531
nation,England,E92000001,2020-07-04,59,39626
nation,Northern Ireland,N92000002,2020-07-04,2,554
nation,Scotland,S92000003,2020-07-04,1,2488
nation,Wales,W92000004,2020-07-04,5,1530
nation,England,E92000001,2020-07-03,133,39567
nation,Northern Ireland,N92000002,2020-07-03,1,552
nation,Scotland,S92000003,2020-07-03,1,2487
nation,Wales,W92000004,2020-07-03,2,1525
nation,England,E92000001,2020-07-02,80,39434
nation,Northern Ireland,N92000002,2020-07-02,0,551
nation,Scotland,S92000003,2020-07-02,1,2486
nation,Wales,W92000004,2020-07-02,8,1524
nation,England,E92000001,2020-07-01,167,39354
nation,Northern Ireland,N92000002,2020-07-01,0,551
